Cell  ID (nomenclature),Differentiation Code,Lineage Code,Hamming Distance (Diff-Lineage Code),Lineage Depth
AB,[1],[0],1,1
ABa,[11],[00],2,2
ABal,[111],[000],3,3
ABala,[1110],[0000],3,4
ABalaa,[11100],[00000],3,5
ABalaaa,[111000],[000000],3,6
ABalaaaa,[1110000],[0000000],3,7
ABalaaap,[1110001],[0000001],3,7
ABalaap,[111001],[000001],3,6
ABalaapa,[1110010],[0000010],3,7
ABalaapp,[1110011],[0000011],3,7
ABalap,[11101],[00001],3,5
ABalapa,[111010],[000010],3,6
ABalapaa,[1110101],[0000100],4,7
ABalapap,[1110100],[0000101],4,7
ABalapp,[111011],[000011],3,6
Abalappa,[1110110],[0000110],3,7
ABalappp,[1110111],[0000111],3,7
ABalp,[1111],[0001],3,4
ABalpa,[11111],[00010],4,5
ABalpaa,[111110],[000100],4,6
ABalpaaa,[1111100],[0001000],4,7
ABalpaap,[1111101],[0001001],4,7
ABalpap,[111111],[000101],4,6
ABalpapa,[1111110],[0001010],4,7
ABalpapp,[1111111],[0001011],4,7
ABalpp,[11110],[00011],4,5
ABalppa,[111100],[000110],4,6
ABalppaa,[1111000],[0001100],4,7
ABalppap,[1111001],[0001101],4,7
ABalppp,[111101],[000111],4,6
ABalpppa,[1111010],[0001110],4,7
ABalpppp,[1111011],[0001111],4,7
ABar,[110],[001],3,3
ABara,[1100],[0010],3,4
ABaraa,[11001],[00100],4,5
ABaraaa,[110011],[001000],5,6
ABaraaaa,[1100110],[0010000],5,7
ABaraaap,[1100111],[0010001],5,7
ABaraap,[110010],[001001],5,6
ABaraapa,[1100101],[0010010],6,7
ABaraapp,[1100100],[0010011],6,7
ABarap,[11000],[00101],4,5
ABarapa,[110001],[001010],5,6
ABarapaa,[1100010],[0010100],5,7
ABarapap,[1100011],[0010101],5,7
ABarapp,[110000],[001011],5,6
ABarappa,[1100000],[0010110],5,7
ABarappp,[1100001],[0010111],5,7
ABarp,[1101],[0011],3,4
ABarpa,[11011],[00110],4,5
ABarpaa,[110111],[001100],5,6
ABarpaaa,[1101110],[0010100],5,7
ABarpaap,[1101111],[0010101],5,7
ABarpap,[110110],[001101],5,6
ABarpapa,[1101100],[0011010],5,7
ABarpapp,[1101101],[0011011],5,7
ABarpp,[11010],[00111],4,5
ABarppa,[110100],[001110],4,6
ABarppaa,[1101001],[0011100],5,7
ABarppap,[1101000],[0011101],5,7
ABarppp,[110101],[001111],4,6
ABarpppa,[1101010],[0011110],4,7
ABarpppp,[1101011],[0011111],4,7
ABp,[10],[01],2,2
ABpl,[100],[010],2,3
ABpla,[1000],[0100],2,4
ABplaa,[10001],[01000],3,5
ABplaaa,[100010],[010000],3,6
ABplaaaa,[1000101],[0100000],4,7
ABplaaap,[1000100],[0100001],4,7
ABplaap,[100011],[010001],3,6
ABplaapa,[1000110],[0100010],3,7
ABplaapp,[1000111],[0100011],3,7
ABplap,[10000],[01001],3,5
ABplapa,[100000],[010010],3,6
ABplapaa,[1000000],[0100100],3,7
ABplapap,[1000001],[0100101],3,7
ABplapp,[100001],[010011],3,6
ABplappa,[1000011],[0100110],4,7
ABplappp,[1000010],[0100111],4,7
ABplp,[1001],[0101],2,4
ABplpa,[10011],[01010],3,5
ABplpaa,[100110],[010100],3,6
ABplpaaa,[1001100],[0101000],3,7
ABplpaap,[1001101],[0101001],3,7
ABplpap,[100111],[010101],3,6
ABplpapa,[1001110],[0101010],3,7
ABplpapp,[1001111],[0101011],3,7
ABplpp,[10010],[01011],3,5
ABplppa,[100100],[010110],3,6
ABplppaa,[1001000],[0101100],3,7
ABplppap,[1001001],[0101101],3,7
ABplppp,[100101],[010111],3,6
ABplpppa,[1001010],[0101110],3,7
ABplpppp,[1001011],[0101111],3,7
ABpr,[101],[011],2,3
ABpra,[1011],[0110],3,4
ABpraa,[10111],[01100],4,5
ABpraaa,[101110],[011000],4,6
ABpraaaa,[1011100],[0110000],4,7
ABpraaap,[1011101],[0110001],4,7
ABpraap,[101111],[011001],4,6
ABpraapa,[1011110],[0110010],4,7
